GeneName GeneCluster chr start end
83 ENSG00000135253 1 7 128862451 128910719
84 ENSG00000148337 1 9 128166064 128204383
85 ENSG00000164087 1 3 52075253 52154690
86 ENSG00000182676 1 17 81833492 81835050
87 ENSG00000087152 1 17 44191805 44200113
88 ENSG00000196834 1 2 130459455 130509666
89 ENSG00000100346 1 22 39570753 39689737
90 ENSG00000262223 1 17 81376001 81385360
91 ENSG00000162006 1 16 769428 783370
92 ENSG00000196313 1 7 72879365 72951440
93 ENSG00000090447 1 16 4257186 4273075
94 ENSG00000198643 1 3 58633946 58666848
95 ENSG00000181885 1 17 7259903 7263983
96 ENSG00000010030 1 6 36354091 36387800
97 ENSG00000089154 1 12 120127203 120194710
98 ENSG00000144230 1 2 127645864 127652639
99 ENSG00000114646 1 3 47562239 47580792
100 ENSG00000150556 1 2 149038107 149215262
101 ENSG00000185818 1 4 2059512 2069089
102 ENSG00000168280 1 2 148875250 149026759
103 ENSG00000230423 1 6 170735751 170736545
104 ENSG00000090621 1 1 39560816 39576790
105 ENSG00000106346 1 7 6104884 6161564
106 ENSG00000122877 1 10 62811996 62919900
107 ENSG00000175727 1 12 122078722 122147347
108 ENSG00000138363 1 2 215311817 215349773
109 ENSG00000101951 1 X 49829260 49833973
110 ENSG00000223572 1 15 43692886 43699222
111 ENSG00000197932 1 NA NA NA
112 ENSG00000189114 1 19 45178745 45181801
113 ENSG00000105663 1 NA NA NA
114 ENSG00000167748 1 19 50819148 50823787
115 ENSG00000224376 1 2 231388976 231394991
116 ENSG00000005001 1 16 2852727 2858170
117 ENSG00000196419 1 22 41621119 41664048
118 ENSG00000203392 1 15 75678548 75680752
119 ENSG00000215845 1 1 161037631 161038990
120 ENSG00000269242 1 19 12643831 12648397
121 ENSG00000227431 1 20 49040463 49046044
122 ENSG00000165091 1 9 72521801 72836351
123 ENSG00000158748 1 1 19665287 19679562
124 ENSG00000230715 1 7 128652841 128653243
125 ENSG00000135930 1 2 232550052 232583644
126 ENSG00000243927 1 21 34073224 34143034
127 ENSG00000142233 1 19 48661407 48673081
128 ENSG00000072954 1 19 16661127 16690029
129 ENSG00000242349 1 1 11841017 11848079
130 ENSG00000182173 1 17 75516060 75524739
131 ENSG00000156521 1 10 70137981 70146676
132 ENSG00000256530 1 NA NA NA
133 ENSG00000105287 1 19 46674275 46717127
134 ENSG00000099381 1 16 30957294 30985116
135 ENSG00000221890 1 22 38818452 38843982
136 ENSG00000148362 1 9 136992418 136993984
137 ENSG00000144283 1 2 158456964 158682879
138 ENSG00000260532 1 16 1111627 1113399
139 ENSG00000162396 1 1 54756898 54764514
140 ENSG00000011590 1 19 35704527 35717038
141 ENSG00000072071 1 19 14147743 14206187
142 ENSG00000188219 1 2 131218067 131265278
143 ENSG00000153395 1 5 1456480 1523977
144 ENSG00000243679 1 7 128653969 128654722
145 ENSG00000204569 1 6 30600400 30618612
146 ENSG00000004777 1 19 35774532 35788822
147 ENSG00000213938 1 2 199659551 199660729
148 ENSG00000213937 1 16 3012456 3014505
149 ENSG00000180096 1 16 30378133 30395991
150 ENSG00000236085 1 1 103569553 103570674
151 ENSG00000169564 1 2 70087454 70089203
152 ENSG00000141499 1 17 7686071 7703502
153 ENSG00000049089 1 1 40300487 40317816
154 ENSG00000189091 1 16 70523788 70577670
155 ENSG00000177169 1 12 131894651 131923167
156 ENSG00000124493 1 6 34018645 34155622
157 ENSG00000006432 1 14 70722526 70809534
158 ENSG00000149091 1 11 46332905 46380554
159 ENSG00000256443 1 11 61539516 61542259
160 ENSG00000125648 1 19 6436079 6465203
161 ENSG00000254973 1 8 143758153 143771822
162 ENSG00000178999 1 17 8204733 8210600
163 ENSG00000166145 1 15 40844018 40858207
164 ENSG00000232024 1 8 35525176 35525763
165 ENSG00000146386 1 6 139028682 139043302
166 ENSG00000173120 1 11 67119269 67258087
167 ENSG00000148296 1 9 133328774 133336398
168 ENSG00000112787 1 12 132489551 132585188
169 ENSG00000119403 1 9 120855652 120894896
170 ENSG00000261183 1 15 40835808 40844387
171 ENSG00000117632 1 1 25884181 25906991
172 ENSG00000234699 1 10 103452846 103462695
173 ENSG00000272008 1 6 87151159 87155285
174 ENSG00000116221 1 1 54184041 54225464
175 ENSG00000085552 1 1 159927039 159945604
176 ENSG00000100207 1 22 42160013 42343616
177 ENSG00000124766 1 6 21592768 21598619
178 ENSG00000078900 1 1 3652520 3736201
179 ENSG00000176383 1 12 122203543 122208952
180 ENSG00000167522 1 16 89267627 89490561
181 ENSG00000177380 1 19 49119389 49151026
182 ENSG00000072518 1 11 63838928 63911019
183 ENSG00000131037 1 19 55072020 55087923
184 ENSG00000173825 1 11 65354767 65357613
185 ENSG00000261357 1 16 19065991 19066694
186 ENSG00000181085 1 8 143716259 143722458
187 ENSG00000155066 1 2 95274453 95291308
188 ENSG00000163362 1 1 200891048 200915735
189 ENSG00000267882 1 20 47318502 47320754
190 ENSG00000178078 1 19 4324043 4342786
191 ENSG00000215154 1 16 2603350 2630494
192 ENSG00000136944 1 9 126614443 126701032
193 ENSG00000156304 1 21 31671033 31732075
194 ENSG00000120055 1 10 102449837 102451543
195 ENSG00000135966 1 2 105264391 105330034
196 ENSG00000158458 1 5 139846779 140043299
197 ENSG00000171540 1 5 77628712 77639688
198 ENSG00000105202 1 19 39834458 39846414
199 ENSG00000239911 1 7 151877042 151879223
200 ENSG00000178206 1 NA NA NA
201 ENSG00000155592 1 16 25236001 25257931
202 ENSG00000179409 1 17 744414 753999
203 ENSG00000171735 1 1 6785324 7769706
204 ENSG00000111206 1 12 2857681 2877155
205 ENSG00000188566 1 9 137205685 137217009
206 ENSG00000167173 1 15 75195643 75212169
207 ENSG00000185933 1 10 103453387 103458888
208 ENSG00000084628 1 1 31179745 31239554
209 ENSG00000135127 1 12 119989869 120094494
210 ENSG00000243829 1 19 49719498 49720081
211 ENSG00000215210 1 9 30689105 30690272
212 ENSG00000180279 1 19 50808874 50818880
213 ENSG00000162552 1 1 22117305 22143969
214 ENSG00000204392 1 6 31797396 31806984
215 ENSG00000158106 1 8 143368887 143384220
216 ENSG00000135334 1 6 87675072 87702209
217 ENSG00000139044 1 12 460364 563509
218 ENSG00000184363 1 11 392614 404908
219 ENSG00000242114 1 22 30425530 30429053
220 ENSG00000125731 1 19 6752160 6767588
221 ENSG00000214223 1 19 11666069 11667030
222 ENSG00000184669 1 11 17013998 17053024
223 ENSG00000167723 1 17 3510502 3557995
224 ENSG00000066044 1 19 7958579 8005659
225 ENSG00000128886 1 15 43772600 43777543
226 ENSG00000204060 1 1 41361922 41383590
227 ENSG00000204839 1 8 143566187 143572971
228 ENSG00000106789 1 9 98120975 98192640
229 ENSG00000233232 1 16 28456372 28471175
230 ENSG00000233493 1 19 55379245 55384598
231 ENSG00000143126 1 1 109250019 109275750
232 ENSG00000169876 1 7 101020072 101058745
233 ENSG00000104059 1 15 29120254 29570723
234 ENSG00000140332 1 15 70047790 70098176
235 ENSG00000213225 1 2 130229379 130232106
236 ENSG00000230798 1 1 63320884 63324441
237 ENSG00000168350 1 14 100143957 100160163
238 ENSG00000130559 1 9 135808487 135907228
239 ENSG00000145198 1 3 184230429 184242329
240 ENSG00000113430 1 5 1877413 1887236
241 ENSG00000260410 1 16 84119293 84121153
242 ENSG00000196497 1 14 24180219 24188964
243 ENSG00000100726 1 16 1493344 1510457
244 ENSG00000205704 1 22 41952165 41958933
245 ENSG00000255104 1 17 15699692 15744783
246 ENSG00000170381 1 7 83363906 83649010
247 ENSG00000232860 1 1 183460874 183472265
248 ENSG00000078018 1 2 209424058 209734118
249 ENSG00000198754 1 1 39769523 39771348
250 ENSG00000167642 1 19 38244035 38292614
251 ENSG00000163817 1 3 45755450 45796535
252 ENSG00000242950 1 7 92468380 92477986
253 ENSG00000089639 1 19 19629476 19643667
254 ENSG00000109062 1 17 74748613 74769353
255 ENSG00000227218 1 9 127934503 127940952
256 ENSG00000103111 1 16 77190835 77202405
257 ENSG00000166716 1 15 84748635 84806432
258 ENSG00000010292 1 12 6493356 6531955
259 ENSG00000183780 1 1 233904933 234324516
260 ENSG00000241370 1 6 30345131 30346884
261 ENSG00000143373 1 1 151281618 151292180
262 ENSG00000272079 1 16 3006120 3007388
263 ENSG00000204661 1 5 179641544 179645046
264 ENSG00000126453 1 19 49665142 49673916
265 ENSG00000235398 1 NA NA NA
266 ENSG00000171219 1 11 64823387 64844569
267 ENSG00000174292 1 17 7380534 7389774
268 ENSG00000103528 1 16 19167971 19268334
269 ENSG00000215241 1 12 8235415 8242564
270 ENSG00000161642 1 12 54369133 54391298
271 ENSG00000249679 1 4 185471516 185472263
272 ENSG00000270540 1 2 236367560 236369102
273 ENSG00000260898 1 15 72782835 72798199
274 ENSG00000012211 1 X 49175264 49186528
275 ENSG00000129993 1 16 88874858 88977204
276 ENSG00000130699 1 20 61953469 62065810
277 ENSG00000121774 1 1 32013829 32060850
278 ENSG00000259577 1 15 52180093 52205874
279 ENSG00000225077 1 1 6236240 6239444
280 ENSG00000187589 1 18 14377546 14378757
281 ENSG00000225695 1 2 201063089 201064051
282 ENSG00000233436 1 11 57743514 57751781
283 ENSG00000158158 1 2 96760902 96811891
284 ENSG00000233198 1 9 137227271 137229638
285 ENSG00000130723 1 9 131394093 131500197
286 ENSG00000181143 1 19 8848844 8981342
287 ENSG00000168066 1 11 64764606 64778786
288 ENSG00000101210 1 20 63488013 63499315
289 ENSG00000204248 1 6 33162681 33192499
290 ENSG00000158055 1 1 24319322 24364482
291 ENSG00000137073 1 9 33921693 34048949
292 ENSG00000142611 1 1 3069168 3438621
293 ENSG00000183624 1 3 129278828 129306186
294 ENSG00000133985 1 14 70641787 70675360
295 ENSG00000129351 1 19 10654261 10692417
296 ENSG00000170356 1 7 144250045 144252957
297 ENSG00000109118 1 17 28905250 28951771
298 ENSG00000105479 1 19 48296457 48321894
299 ENSG00000063169 1 19 47608196 47703277
300 ENSG00000153898 1 1 84925583 84997113
301 ENSG00000213024 1 19 49906825 49929763
302 ENSG00000225860 1 17 51336715 51342571
303 ENSG00000272264 1 8 80032724 80033300
304 ENSG00000177051 1 19 45710629 45730904
305 ENSG00000149922 1 16 30085793 30091887
306 ENSG00000149927 1 16 30005509 30023270
307 ENSG00000212123 1 19 5782960 5784765
308 ENSG00000249119 1 5 134924123 134924644
309 ENSG00000249115 1 19 35612744 35625349
310 ENSG00000070814 1 5 150357639 150400308
311 ENSG00000137337 1 6 30699807 30717889
312 ENSG00000099995 1 22 30331988 30356947
313 ENSG00000226348 1 16 77220406 77221258
314 ENSG00000222047 1 10 73909969 73922777
315 ENSG00000256542 1 12 132277349 132280900
316 ENSG00000225556 1 1 151837819 151840557
317 ENSG00000179832 1 8 144148016 144261940
318 ENSG00000179837 1 NA NA NA
319 ENSG00000170684 1 19 45071500 45076588
320 ENSG00000178053 1 3 158571163 158607252
321 ENSG00000135213 1 NA NA NA
322 ENSG00000161243 1 19 38990714 39032785
323 ENSG00000168488 1 16 28823035 28837237
324 ENSG00000164049 1 3 48372219 48401259
325 ENSG00000204334 1 2 170783786 170798971
326 ENSG00000105220 1 19 34359480 34402156
327 ENSG00000080603 1 16 30698209 30741409
328 ENSG00000110400 1 11 119623408 119729084
329 ENSG00000261713 1 16 1064093 1078731
330 ENSG00000150990 1 12 124946825 124989122
331 ENSG00000119333 1 9 128633661 128656787
332 ENSG00000179943 1 19 55591371 55601970
333 ENSG00000165215 1 7 73768997 73770270
334 ENSG00000176753 1 15 40250664 40252969
335 ENSG00000182481 1 17 68035519 68046842
336 ENSG00000172508 1 11 67414968 67425607
337 ENSG00000089094 1 12 121429097 121581015
338 ENSG00000144028 1 2 96274336 96305515
339 ENSG00000139343 1 12 95858928 95903828
340 ENSG00000242575 1 2 153420677 153421957
341 ENSG00000085377 1 6 105277565 105403084
342 ENSG00000143061 1 1 116574399 116667755
343 ENSG00000159197 1 21 34364024 34371389
344 ENSG00000232406 1 20 36148726 36155760
345 ENSG00000181652 1 7 151012209 151024499
346 ENSG00000143882 1 2 10721649 10785110
347 ENSG00000186193 1 9 137062124 137070588
348 ENSG00000123136 1 19 14408819 14419383
349 ENSG00000256178 1 NA NA NA
350 ENSG00000226746 1 17 17776686 17779529
351 ENSG00000187456 1 NA NA NA
352 ENSG00000157800 1 7 140293693 140404433
353 ENSG00000187695 1 3 128909874 128971330
354 ENSG00000258708 1 14 37171888 37173811
355 ENSG00000211454 1 1 19265982 19274194
356 ENSG00000158089 1 2 30910467 31155202
357 ENSG00000173898 1 11 66685248 66729226
358 ENSG00000134762 1 18 30990008 31042815
359 ENSG00000128245 1 22 31944461 31957603
360 ENSG00000188322 1 16 28292519 28323849
361 ENSG00000204421 1 6 31718648 31721845
362 ENSG00000123411 1 12 56007659 56038435
363 ENSG00000068654 1 2 86020216 86106155
364 ENSG00000166394 1 11 7665100 7677222
365 ENSG00000259668 1 15 51457286 51460582
366 ENSG00000121101 1 17 58556678 58692055
367 ENSG00000085831 1 1 51287258 51345116
368 ENSG00000163931 1 3 53224707 53256052
369 ENSG00000224420 1 19 49688664 49690575
370 ENSG00000229897 1 9 98606833 98608133
371 ENSG00000130950 1 9 94318196 94328644
372 ENSG00000092820 1 6 158765741 158819412
373 ENSG00000205352 1 12 53441605 53446645
374 ENSG00000171345 1 17 41523617 41528308
375 ENSG00000172613 1 11 67317871 67398410
376 ENSG00000013810 1 4 1721490 1745176
377 ENSG00000227308 1 2 219685381 219737937
378 ENSG00000267651 1 18 37234119 37236242
379 ENSG00000239198 1 8 28299683 28300566
380 ENSG00000043591 1 10 114044056 114046908
381 ENSG00000259818 1 1 53220663 53224253
382 ENSG00000181090 1 9 137618963 137870016
383 ENSG00000106852 1 9 122202577 122229626
384 ENSG00000115241 1 2 27381194 27409687
385 ENSG00000055732 1 1 85018082 85048499
386 ENSG00000160439 1 19 55039108 55071291
387 ENSG00000122390 1 16 3443611 3486963
388 ENSG00000145819 1 5 142770384 143229011
389 ENSG00000174231 1 17 1650629 1684882
390 ENSG00000106263 1 7 2354086 2380745
391 ENSG00000256943 1 12 132275391 132278329
392 ENSG00000260265 1 4 75081702 75084717
393 ENSG00000135973 1 2 105241743 105243049
394 ENSG00000271769 1 NA NA NA
395 ENSG00000175920 1 4 3463311 3501473
396 ENSG00000121057 1 17 57085092 57121349
397 ENSG00000219102 1 1 53974969 53976031
398 ENSG00000224712 1 16 14708944 14726338
399 ENSG00000225978 1 20 63102205 63104386
400 ENSG00000101144 1 20 57168748 57266629
401 ENSG00000231360 1 NA NA NA
402 ENSG00000076944 1 19 7636881 7647873
403 ENSG00000131149 1 16 85169525 85676204
404 ENSG00000188686 1 NA NA NA
405 ENSG00000056972 1 6 111556454 111606278
406 ENSG00000080854 1 11 133908564 133956985
407 ENSG00000178821 1 1 1917590 1919273
408 ENSG00000241155 1 3 119314293 119322760
409 ENSG00000231536 1 2 110610916 110612404
410 ENSG00000135847 1 NA NA NA
411 ENSG00000241458 1 5 138473744 138474361
412 ENSG00000259362 1 15 77525540 77534110
413 ENSG00000260034 1 16 25140577 25149032
414 ENSG00000169116 1 4 74933095 75050115
415 ENSG00000244119 1 3 101712472 101713191
416 ENSG00000268093 1 19 48619272 48624132
417 ENSG00000267750 1 17 44299574 44315315
418 ENSG00000236943 1 NA NA NA
419 ENSG00000163053 1 2 230034974 230068999
420 ENSG00000228797 1 13 18697003 18697507
421 ENSG00000149679 1 20 62388632 62407285
422 ENSG00000188112 1 6 42101118 42142619
423 ENSG00000225177 1 6 138692548 138697288
424 ENSG00000196367 1 7 98877933 99013243
425 ENSG00000196586 1 6 75749192 75919537
426 ENSG00000167491 1 19 19385826 19508931
427 ENSG00000101057 1 20 43667019 43716496
428 ENSG00000231588 1 10 50629532 50631075
429 ENSG00000162444 1 1 9997206 10016020
430 ENSG00000105085 1 19 16574907 16629062
431 ENSG00000085872 1 19 16517889 16542530
432 ENSG00000272523 1 5 108727825 108728260
433 ENSG00000254389 1 8 143366631 143368548
434 ENSG00000235636 1 X 47512602 47513483
435 ENSG00000249593 1 5 139012647 139051203
436 ENSG00000117676 1 1 26529761 26575030
437 ENSG00000064547 1 19 19623668 19628930
438 ENSG00000271810 1 1 112702614 112711433
439 ENSG00000105323 1 19 41262496 41307598
440 ENSG00000115507 1 2 63050057 63057836
441 ENSG00000167046 1 20 62640719 62643304
442 ENSG00000233296 1 2 677186 697371
443 ENSG00000183317 1 1 37713880 37765133
444 ENSG00000162522 1 1 32741885 32774970
445 ENSG00000214733 1 NA NA NA
446 ENSG00000130702 1 20 62307955 62367312
447 ENSG00000007545 1 16 1612325 1677908
448 ENSG00000185101 1 11 417933 442011
449 ENSG00000243566 1 7 76510428 76516521
450 ENSG00000142675 1 1 26177403 26189886
451 ENSG00000262152 1 16 2988961 2994509
452 ENSG00000168612 1 20 45881227 45885266
453 ENSG00000153093 1 2 110732573 111118222
454 ENSG00000272333 1 19 35718019 35738878
455 ENSG00000237588 1 1 156687695 156691997
456 ENSG00000232237 1 1 201113953 201127184
457 ENSG00000134504 1 18 26454910 26657401
458 ENSG00000134508 1 18 23134564 23260467
459 ENSG00000237054 1 14 22918947 22926900
460 ENSG00000121454 1 1 180230286 180278982
461 ENSG00000215440 1 20 58689131 58719238
462 ENSG00000156966 1 2 231395543 231401164
463 ENSG00000187486 1 11 17385859 17389331
464 ENSG00000164687 1 8 81280363 81284777
465 ENSG00000233426 1 2 58251440 58252525
466 ENSG00000137434 1 6 10671418 10694797
467 ENSG00000122574 1 7 29806486 29917066
468 ENSG00000263470 1 NA NA NA
469 ENSG00000186510 1 1 16018875 16034050
470 ENSG00000212932 1 21 46690764 46691226
471 ENSG00000137843 1 15 40238759 40277487
472 ENSG00000143614 1 1 153789030 153923360
473 ENSG00000272927 1 4 661209 661945
474 ENSG00000165985 1 10 16513743 16522005
475 ENSG00000186891 1 1 1203508 1206691
476 ENSG00000170075 1 1 202122858 202133592
477 ENSG00000179477 1 17 8072636 8087703
478 ENSG00000175792 1 3 128064778 128153914
479 ENSG00000188937 1 X 41447434 41475710
480 ENSG00000088038 1 19 54137728 54155681
481 ENSG00000258472 1 17 28455752 28614197
482 ENSG00000091010 1 5 146339024 146340520
483 ENSG00000051523 1 16 88643283 88651152
484 ENSG00000232811 1 1 110943467 110952848
485 ENSG00000075275 1 22 46360834 46537170
486 ENSG00000224956 1 NA NA NA
487 ENSG00000184208 1 22 41688939 41698136
488 ENSG00000100162 1 22 41938721 41947164
489 ENSG00000100167 1 22 41976272 41998221
490 ENSG00000177340 1 12 31324316 31325829
491 ENSG00000117713 1 1 26693236 26782104
492 ENSG00000148671 1 10 86968192 86983934
493 ENSG00000174547 1 11 66435075 66466738
494 ENSG00000182909 1 NA NA NA
495 ENSG00000165905 1 11 45921621 45929096
496 ENSG00000183495 1 12 131949920 132081102
497 ENSG00000185437 1 21 39445855 39515506
498 ENSG00000250221 1 5 98392070 98393530
499 ENSG00000268947 1 19 35262846 35264804
500 ENSG00000133422 1 22 30925130 30968298
501 ENSG00000259605 1 19 45764785 45769806
502 ENSG00000166441 1 11 8682411 8714759
503 ENSG00000182759 1 8 143419182 143430406
504 ENSG00000101222 1 20 3777504 3781448
505 ENSG00000133226 1 1 24631716 24673267
506 ENSG00000269937 1 16 2561471 2565096
507 ENSG00000139514 1 13 29509410 29595688
508 ENSG00000116254 1 1 6101793 6180123
509 ENSG00000159387 1 16 55323760 55330760
510 ENSG00000100290 1 22 43110748 43129712
511 ENSG00000180921 1 8 143723933 143733801
512 ENSG00000185347 1 14 105489855 105499575
513 ENSG00000114349 1 3 50191612 50196516
514 ENSG00000205089 1 5 132747445 132754403
515 ENSG00000159239 1 2 74393836 74421662
516 ENSG00000141858 1 19 14087840 14091036
517 ENSG00000228705 1 20 62774128 62775412
518 ENSG00000119608 1 14 74852871 74871940
519 ENSG00000183778 1 21 39556442 39673137
520 ENSG00000124507 1 6 34466061 34535231
521 ENSG00000099901 1 22 20115938 20127357
522 ENSG00000165138 1 9 98731329 98796965
523 ENSG00000100767 1 14 73237497 73274640
524 ENSG00000198055 1 5 177403204 177442901
525 ENSG00000243056 1 5 140547666 140549578
526 ENSG00000259442 1 15 82744223 82750289
527 ENSG00000135905 10 2 224765090 225042445
528 ENSG00000135914 10 2 231108230 231125118
529 ENSG00000136754 10 10 26746593 26861087
530 ENSG00000232504 10 2 85889280 85890980
531 ENSG00000079689 10 6 25652201 25701783
532 ENSG00000230385 10 2 230908852 230910102
533 ENSG00000103642 10 15 63121800 63142061
534 ENSG00000188596 10 12 96489571 96875555
535 ENSG00000197506 10 9 84275457 84340683
536 ENSG00000186088 10 7 77310751 77416400
537 ENSG00000106404 10 7 101232092 101238820
538 ENSG00000232828 10 X 48698963 48737163
539 ENSG00000132185 10 1 161706972 161714352
540 ENSG00000116473 10 1 111542218 111716691
541 ENSG00000223652 10 5 123087248 123090299
542 ENSG00000250878 10 13 102880099 102896033
543 ENSG00000039537 10 5 41142234 41261438
544 ENSG00000154262 10 17 69078702 69141888
545 ENSG00000006757 10 X 7898247 7927739
546 ENSG00000164035 10 4 100395341 100880126
547 ENSG00000111404 10 12 18080869 18320107
548 ENSG00000146285 10 6 107704104 107824317
549 ENSG00000248544 10 5 157375741 157384950
550 ENSG00000104679 10 8 23270120 23296279
551 ENSG00000259946 10 1 97967005 97968814
552 ENSG00000230107 10 22 42438023 42446195
553 ENSG00000145982 10 6 5261044 5771580
554 ENSG00000235326 10 NA NA NA
555 ENSG00000205707 10 12 25195216 25209645
556 ENSG00000140030 10 14 88005124 88014811
557 ENSG00000175395 10 10 37949572 37976633
558 ENSG00000101353 10 20 37101226 37179588
559 ENSG00000225206 10 1 97986740 98049863
560 ENSG00000177981 10 12 48147788 48181213
561 ENSG00000162783 10 1 181088712 181092899
562 ENSG00000081320 10 2 196133566 196176503
563 ENSG00000230371 10 13 113130416 113132054
564 ENSG00000132437 10 7 50458436 50565457
565 ENSG00000226380 10 7 130876747 130913310
566 ENSG00000198001 10 12 43758944 43789543
567 ENSG00000198829 10 3 151873643 151884619
568 ENSG00000117616 10 1 25242237 25338213
569 ENSG00000134343 10 11 26309599 26663288
570 ENSG00000164669 10 7 65141225 65234216
571 ENSG00000172995 10 3 35638945 35794496
572 ENSG00000145476 10 4 186191520 186213456
573 ENSG00000102468 10 13 46831550 46897076
574 ENSG00000145826 10 5 135922279 135955034
575 ENSG00000232117 10 13 30151886 30159621
576 ENSG00000261656 10 16 66469796 66481230
577 ENSG00000228914 10 9 122607864 122608800
578 ENSG00000138663 10 4 83034447 83075818
579 ENSG00000149571 10 11 126423359 127003460
580 ENSG00000163751 10 3 148865256 148897196
581 ENSG00000266929 10 17 42536510 42562062
582 ENSG00000203942 10 10 97589727 97590934
583 ENSG00000171016 10 15 55538890 55588947
584 ENSG00000172548 10 5 157460019 157474717
585 ENSG00000229807 10 X 73820651 73852753
586 ENSG00000230943 10 6 113623535 113650074
587 ENSG00000180771 10 NA NA NA
588 ENSG00000115415 10 2 190964358 191020960
589 ENSG00000187510 10 12 92721505 92772455
590 ENSG00000198300 10 19 56810083 56840728
591 ENSG00000148484 10 10 16590611 16817528
592 ENSG00000148482 10 10 17951839 18043292
593 ENSG00000181619 10 14 59429022 59465342
594 ENSG00000158125 10 2 31334321 31414715
595 ENSG00000228032 10 NA NA NA
596 ENSG00000255587 10 6 36697851 36733183
597 ENSG00000132464 10 4 70628744 70686816
598 ENSG00000132465 10 4 70655541 70681817
599 ENSG00000234492 10 4 108538190 108620460
600 ENSG00000126860 10 17 31317560 31321884
601 ENSG00000270021 10 5 135399280 135401296
602 ENSG00000071967 10 2 171522247 171558133
603 ENSG00000272761 10 NA NA NA
604 ENSG00000248373 10 4 104907357 105120000
605 ENSG00000162733 10 1 162631373 162787400
606 ENSG00000169857 10 15 33866227 34039176
607 ENSG00000205683 10 14 72619296 72894116
608 ENSG00000059377 10 7 139777051 140020325
609 ENSG00000171631 10 11 73264505 73298617
610 ENSG00000106819 10 9 92456205 92482506
611 ENSG00000180787 10 17 5078248 5096374
