GeneID Module chr start end
37 ENSG00000271647.1 turquoise 1 44103306 44104703
38 ENSG00000228666.1 turquoise 6 28969130 28970460
39 ENSG00000245205.3 turquoise 12 19456244 19457648
40 ENSG00000213538.4 turquoise 11 9094377 9095890
41 ENSG00000273398.1 turquoise 2 68130149 68261230
42 ENSG00000249210.1 turquoise 19 46558641 46559642
43 ENSG00000242590.1 turquoise 1 1055033 1056116
44 ENSG00000227942.1 turquoise X 65550898 65552421
45 ENSG00000182851.2 turquoise NA NA NA
46 ENSG00000250363.1 turquoise 4 115920707 115921978
47 ENSG00000257376.1 turquoise 12 42431665 42433357
48 ENSG00000234619.1 turquoise 1 8750430 8751087
49 ENSG00000267598.1 turquoise 19 13153071 13154193
50 ENSG00000205940.7 turquoise 4 13333414 13338657
51 ENSG00000262732.1 turquoise 16 13930677 13935635
52 ENSG00000256618.1 turquoise 17 22523111 22524663
53 ENSG00000178642.5 turquoise NA NA NA
54 ENSG00000270433.1 turquoise 14 23293852 23295798
55 ENSG00000228149.1 turquoise 21 36168970 36170180
56 ENSG00000259516.2 turquoise 15 35181799 35238197
57 ENSG00000215093.3 turquoise X 86160264 86161359
58 ENSG00000248415.1 turquoise 15 64528667 64529671
59 ENSG00000216740.2 turquoise 10 64825572 64826579
60 ENSG00000268222.1 turquoise 19 35382172 35384052
61 ENSG00000229129.1 turquoise Y 17757001 17758125
62 ENSG00000229465.1 turquoise Y 18147884 18149008
63 ENSG00000235601.1 turquoise 9 93955597 93959140
64 ENSG00000234277.2 turquoise 1 227393591 227431035
65 ENSG00000224791.1 turquoise 2 203764295 203765593
66 ENSG00000239830.1 turquoise 19 9683294 9684073
67 ENSG00000258846.1 turquoise 12 96900697 96902698
68 ENSG00000182574.7 turquoise X 100956593 100957538
69 ENSG00000240540.2 turquoise 8 79571153 79572335
70 ENSG00000227473.1 turquoise 8 144141214 144143664
71 ENSG00000213478.2 turquoise 1 51157788 51158471
72 ENSG00000179460.5 turquoise 7 20582072 20583206
73 ENSG00000257758.1 turquoise 12 104976749 104978027
74 ENSG00000231942.3 turquoise 8 81807772 81808726
75 ENSG00000241429.1 turquoise 3 138825063 138826329
76 ENSG00000235124.1 turquoise X 57984686 57986133
77 ENSG00000259425.1 turquoise 15 22770523 22776199
78 ENSG00000235027.1 turquoise 11 1760348 1762486
79 ENSG00000250504.2 turquoise 4 144572238 144572983
80 ENSG00000256066.1 turquoise NA NA NA
81 ENSG00000230582.2 turquoise NA NA NA
82 ENSG00000254543.1 turquoise 8 7891003 7892555
83 ENSG00000226358.1 turquoise 10 88727485 88728914
84 ENSG00000250144.1 turquoise 4 135045464 135046850
85 ENSG00000255443.1 turquoise 11 35210343 35214985
86 ENSG00000261557.1 turquoise 16 27133483 27135179
87 ENSG00000249064.1 turquoise 4 40020240 40021517
88 ENSG00000262831.1 turquoise 17 81843165 81843958
89 ENSG00000213235.3 turquoise 12 16990670 16992083
90 ENSG00000225275.4 turquoise 3 11900011 11901245
91 ENSG00000271100.1 turquoise 11 63698596 63698764
92 ENSG00000264981.1 turquoise 17 20542974 20544123
93 ENSG00000236667.1 turquoise 2 180938830 180939298
94 ENSG00000214062.5 turquoise 4 77082403 77083126
95 ENSG00000260900.1 turquoise 16 33059936 33060098
96 ENSG00000252628.1 turquoise 17 44307088 44307172
97 ENSG00000202290.1 turquoise 13 97362972 97363101
98 ENSG00000227233.1 turquoise 7 51382284 51384660
99 ENSG00000251332.1 turquoise 4 37995494 37996203
100 ENSG00000259235.1 turquoise 15 48189037 48191691
101 ENSG00000251234.1 turquoise 8 93939364 93942877
102 ENSG00000269774.1 turquoise NA NA NA
103 ENSG00000231302.1 turquoise 20 50620763 50621077
104 ENSG00000268442.1 turquoise 19 24162370 24163425
105 ENSG00000237211.2 turquoise X 84755136 84756003
106 ENSG00000221190.1 turquoise X 155383100 155383198
107 ENSG00000231982.1 turquoise 3 186826549 186827337
108 ENSG00000236764.4 turquoise 4 96902801 96903050
109 ENSG00000221539.1 turquoise 1 28578749 28578822
110 ENSG00000231378.1 turquoise 1 174849667 174850168
111 ENSG00000241537.1 turquoise 3 72772539 72773471
112 ENSG00000212497.1 turquoise 19 12027913 12028021
113 ENSG00000199812.1 turquoise 3 146571477 146571583
114 ENSG00000241815.1 turquoise 3 96566357 96567103
115 ENSG00000230080.2 turquoise 11 1802889 1804095
116 ENSG00000253829.1 turquoise 8 38844866 38846439
117 ENSG00000249410.1 turquoise 5 55551885 55552554
118 ENSG00000235204.1 turquoise 9 124259250 124261156
119 ENSG00000266392.1 turquoise 17 81400716 81400778
120 ENSG00000253153.1 turquoise 8 101562008 101562488
121 ENSG00000213187.3 turquoise 6 93091976 93092760
122 ENSG00000264530.1 turquoise 9 6542094 6542353
123 ENSG00000264054.1 turquoise 18 67137611 67137751
124 ENSG00000201699.1 turquoise 1 149162783 149162944
125 ENSG00000225455.3 turquoise 4 49016682 49017154
126 ENSG00000212961.4 turquoise 11 74354443 74355720
127 ENSG00000239253.1 turquoise 19 34021659 34021895
128 ENSG00000227329.2 turquoise X 53164391 53164557
129 ENSG00000224535.1 turquoise 1 212466816 212467743
130 ENSG00000265546.1 turquoise NA NA NA
131 ENSG00000207972.1 turquoise 19 10718404 10718503
132 ENSG00000238331.1 turquoise NA NA NA
133 ENSG00000250990.1 turquoise 7 77246340 77258123
134 ENSG00000231603.1 turquoise X 48412303 48415285
135 ENSG00000213128.3 turquoise 17 80542203 80542605
136 ENSG00000249488.1 turquoise 4 17552117 17552752
137 ENSG00000233139.1 turquoise X 48153868 48155941
138 ENSG00000237816.1 turquoise 13 71704181 71704655
139 ENSG00000240480.1 turquoise 17 7754320 7754976
140 ENSG00000213180.4 turquoise 17 67224728 67225041
141 ENSG00000206832.1 turquoise 1 109591534 109591640
142 ENSG00000239486.1 turquoise 7 102380465 102382737
143 ENSG00000201432.1 turquoise 7 36337667 36337778
144 ENSG00000206989.1 turquoise 5 138561043 138561110
145 ENSG00000269107.1 turquoise 19 23257255 23274232
146 ENSG00000200530.1 turquoise 19 49497720 49497806
147 ENSG00000240912.1 turquoise 3 114103249 114103628
148 ENSG00000227624.2 turquoise 16 20238972 20239247
149 ENSG00000236900.1 turquoise 10 74344550 74344805
150 ENSG00000238069.1 turquoise 2 156777706 156778372
151 ENSG00000242757.1 turquoise 1 227430526 227430976
152 ENSG00000231857.1 turquoise X 65327988 65331233
153 ENSG00000243053.2 turquoise 17 28802444 28802822
154 ENSG00000253600.1 turquoise 5 164601002 164601452
155 ENSG00000215264.4 turquoise 8 34322992 34323642
156 ENSG00000216105.1 turquoise 4 1986384 1986477
157 ENSG00000226705.1 turquoise 10 6293100 6294684
158 ENSG00000226082.2 turquoise 3 62926371 62926882
159 ENSG00000249214.2 turquoise NA NA NA
160 ENSG00000254688.1 turquoise 11 12822435 12823667
161 ENSG00000237833.1 turquoise X 135583651 135585160
162 ENSG00000233880.1 turquoise X 35761499 35762479
163 ENSG00000223730.1 turquoise 22 44901547 44902471
164 ENSG00000239179.1 turquoise 21 9098863 9098944
165 ENSG00000219867.1 turquoise 6 91815843 91816428
166 ENSG00000229716.2 turquoise 1 8831007 8831375
167 ENSG00000200389.1 turquoise 3 141902924 141903030
168 ENSG00000196082.2 turquoise NA NA NA
169 ENSG00000240052.1 turquoise 5 53413504 53414260
170 ENSG00000257360.1 turquoise 12 94140077 94141337
171 ENSG00000238334.1 turquoise NA NA NA
172 ENSG00000268991.1 turquoise 1 16539066 16539575
173 ENSG00000248126.1 turquoise 5 1598127 1598247
174 ENSG00000256777.1 turquoise 12 66275940 66276651
175 ENSG00000269504.1 turquoise 19 22017959 22036315
176 ENSG00000232752.1 turquoise 1 93924743 93925385
177 ENSG00000236062.1 turquoise 3 12257801 12258460
178 ENSG00000235110.4 turquoise 3 143855739 143856142
179 ENSG00000200494.1 turquoise 20 16670641 16670742
180 ENSG00000216195.2 turquoise 20 63919756 63919827
181 ENSG00000207624.1 turquoise 1 220118157 220118241
182 ENSG00000227224.1 turquoise 3 53474700 53475089
183 ENSG00000221475.1 turquoise X 52190621 52190748
184 ENSG00000222225.1 turquoise 11 152999 153102
185 ENSG00000270690.1 turquoise 15 65458574 65459534
186 ENSG00000207765.1 turquoise 14 23033530 23033638
187 ENSG00000248986.1 turquoise 4 8320279 8323965
188 ENSG00000261195.1 turquoise 16 19761172 19766099
189 ENSG00000259019.1 turquoise 14 44077534 44077884
190 ENSG00000271748.1 turquoise 1 155195167 155195275
191 ENSG00000213003.2 turquoise 8 70273369 70273837
192 ENSG00000243307.2 turquoise 6 26896952 26898777
193 ENSG00000254194.1 turquoise 8 33973701 34009595
194 ENSG00000215044.2 turquoise NA NA NA
195 ENSG00000238868.1 turquoise NA NA NA
196 ENSG00000268746.1 turquoise 19 47607524 47733098
197 ENSG00000219150.2 turquoise 6 110706362 110706882
198 ENSG00000199785.1 turquoise 11 811681 811814
199 ENSG00000242509.2 turquoise 20 36870099 36870402
200 ENSG00000227887.1 turquoise 1 208697369 208697698
201 ENSG00000225602.1 turquoise 1 11143898 11149537
202 ENSG00000240704.1 turquoise 3 170952850 170953897
203 ENSG00000267258.1 turquoise 19 29921182 29921653
204 ENSG00000261233.2 turquoise 16 32475051 32478250
205 ENSG00000226489.1 turquoise 3 35871866 35872198
206 ENSG00000249584.1 turquoise 5 57890327 57899162
207 ENSG00000206630.1 turquoise 16 2155023 2155105
208 ENSG00000251913.1 turquoise 22 42569147 42569250
209 ENSG00000264071.1 turquoise 2 43492032 43492313
210 ENSG00000259161.2 turquoise 14 101843394 101844122
211 ENSG00000253988.1 turquoise 8 138063268 138073240
212 ENSG00000199436.1 turquoise 14 21392150 21392253
213 ENSG00000235059.1 turquoise Y 22438940 22485592
214 ENSG00000207383.1 turquoise 2 112579484 112579584
215 ENSG00000239437.2 turquoise 3 129591349 129591635
216 ENSG00000254728.1 turquoise 11 48881723 48902181
217 ENSG00000233303.1 turquoise 3 195094588 195096057
218 ENSG00000231735.1 turquoise 2 173297629 173298512
219 ENSG00000215162.1 turquoise X 69179557 69209924
220 ENSG00000257927.1 turquoise 12 43054089 43054386
221 ENSG00000266899.1 turquoise 19 33360500 33361448
222 ENSG00000213159.4 turquoise 14 104450979 104451433
223 ENSG00000260379.1 turquoise 16 8508069 8508585
224 ENSG00000226338.1 turquoise 2 153208086 153208163
225 ENSG00000257070.1 turquoise 11 113769660 113769994
226 ENSG00000227183.3 turquoise X 131646639 131646890
227 ENSG00000271609.1 turquoise 16 21538487 21538794
228 ENSG00000240975.1 turquoise 11 39161453 39161967
229 ENSG00000236862.1 turquoise 9 72655832 72656192
230 ENSG00000263538.1 turquoise 3 139494618 139494701
231 ENSG00000233020.1 turquoise 1 70530526 70531492
232 ENSG00000212265.1 turquoise 5 56260333 56260446
233 ENSG00000260347.1 turquoise 16 48496990 48498601
234 ENSG00000232989.1 turquoise 1 238268494 238268595
235 ENSG00000237404.1 turquoise 6 19689825 19753113
236 ENSG00000226448.1 turquoise 10 67334123 67334882
237 ENSG00000228067.1 turquoise 1 212545694 212556065
238 ENSG00000206952.2 turquoise 16 58559796 58559929
239 ENSG00000235500.2 turquoise 13 18892260 18895230
240 ENSG00000240772.2 turquoise 4 167400495 167400762
241 ENSG00000224513.2 turquoise 11 3226061 3232838
242 ENSG00000235805.1 turquoise 3 44709311 44710886
243 ENSG00000233304.1 turquoise 1 3940613 3955262
244 ENSG00000236917.1 turquoise 2 153761450 153762646
245 ENSG00000238692.1 turquoise NA NA NA
246 ENSG00000229338.1 turquoise 9 98890590 98891937
247 ENSG00000229604.2 turquoise 2 87824942 87825143
248 ENSG00000228118.2 turquoise 17 71620978 71621436
249 ENSG00000208892.1 turquoise 12 132031224 132031359
250 ENSG00000229791.1 turquoise 13 19408042 19409529
251 ENSG00000227309.1 turquoise 3 17465150 17465510
252 ENSG00000207636.1 turquoise 15 75353611 75353685
253 ENSG00000240533.2 turquoise 12 6095699 6095970
254 ENSG00000230245.1 turquoise 9 42636788 42637139
255 ENSG00000243129.2 turquoise 12 13021260 13021606
256 ENSG00000271357.1 turquoise 12 32100485 32100735
257 ENSG00000201778.1 turquoise 3 157153548 157153640
258 ENSG00000233893.1 turquoise 6 158818011 158820593
259 ENSG00000200913.1 turquoise 1 44776490 44776593
260 ENSG00000215326.3 turquoise 21 27143344 27143949
261 ENSG00000179131.7 turquoise 7 66914581 66914943
262 ENSG00000257332.1 turquoise 12 63271404 63272336
263 ENSG00000215016.2 turquoise 3 23134372 23134824
264 ENSG00000265603.1 turquoise NA NA NA
265 ENSG00000206706.1 turquoise 16 16314112 16314211
266 ENSG00000251739.1 turquoise 4 183705931 183706031
267 ENSG00000225588.2 turquoise 2 107362282 107407329
268 ENSG00000233428.1 turquoise 2 129496297 129496788
269 ENSG00000266963.1 turquoise 19 38361795 38362484
270 ENSG00000238691.1 turquoise NA NA NA
271 ENSG00000213787.3 turquoise 7 26922110 26922912
272 ENSG00000239195.1 turquoise 11 93733228 93733300
273 ENSG00000253051.1 turquoise 13 45336314 45336447
274 ENSG00000235740.1 turquoise 6 143554325 143562031
275 ENSG00000272359.1 turquoise 3 196747192 196747324
276 ENSG00000207601.1 turquoise 11 61792495 61792561
277 ENSG00000229230.2 turquoise 20 35218009 35218185
278 ENSG00000270870.1 turquoise 17 65654914 65655395
279 ENSG00000264878.1 turquoise 6 36510517 36510598
280 ENSG00000265936.1 turquoise 18 67375133 67375305
281 ENSG00000255037.1 turquoise 16 14766402 14770075
282 ENSG00000254902.1 turquoise 11 70187788 70188509
283 ENSG00000255965.1 turquoise 12 124383381 124383510
284 ENSG00000233691.2 turquoise 1 160935537 160936126
285 ENSG00000212549.1 turquoise 12 26373598 26373733
286 ENSG00000226144.2 turquoise 20 37049254 37049707
287 ENSG00000210709.1 turquoise 17 46921124 46921249
288 ENSG00000268070.1 turquoise 19 20033444 20034332
289 ENSG00000259242.2 turquoise 19 19606350 19608660
290 ENSG00000267330.1 turquoise NA NA NA
291 ENSG00000234977.1 turquoise 7 1691906 1692450
292 ENSG00000203518.1 turquoise NA NA NA
293 ENSG00000251597.1 turquoise 5 54399439 54400033
294 ENSG00000201113.1 turquoise 2 32214456 32214562
295 ENSG00000240203.2 turquoise 3 42676189 42676491
296 ENSG00000205644.5 turquoise 5 65415353 65416222
297 ENSG00000241757.2 turquoise 14 98351367 98351664
298 ENSG00000226407.1 turquoise 10 33864313 33864723
299 ENSG00000235579.1 turquoise 2 201162484 201162680
300 ENSG00000250261.1 turquoise 22 20587496 20592218
301 ENSG00000249175.1 turquoise 5 94788789 94793599
302 ENSG00000223330.1 turquoise 7 56402070 56402173
303 ENSG00000249148.2 turquoise 4 13631820 13632599
304 ENSG00000234061.1 turquoise 2 171492905 171493095
305 ENSG00000213126.2 turquoise 2 179814251 179814675
306 ENSG00000253318.1 turquoise 8 105194990 105196969
307 ENSG00000221008.1 turquoise 15 84204516 84204599
308 ENSG00000261813.2 turquoise 15 74976240 74976573
309 ENSG00000215457.5 turquoise 18 51845007 51845628
310 ENSG00000234813.1 turquoise 10 18940501 18940953
311 ENSG00000263575.1 turquoise 9 6007826 6007904
312 ENSG00000236005.1 turquoise 9 107534390 107535162
313 ENSG00000206838.1 turquoise 7 45104349 45104482
314 ENSG00000214641.3 turquoise 6 51537155 51537543
315 ENSG00000263640.1 turquoise 8 144853413 144853522
316 ENSG00000234751.1 turquoise 11 72940498 72941112
317 ENSG00000207304.1 turquoise 11 93732361 93732499
318 ENSG00000226745.2 turquoise 1 40132764 40133448
319 ENSG00000207041.1 turquoise X 141118030 141118136
320 ENSG00000220585.3 turquoise 10 91053051 91055047
321 ENSG00000241818.1 turquoise 15 32656084 32673065
322 ENSG00000226867.1 turquoise X 52781452 52785786
323 ENSG00000269353.1 turquoise 19 40946347 40947450
324 ENSG00000266139.1 turquoise 2 111321012 111321091
325 ENSG00000251869.1 turquoise X 24744441 24744570
326 ENSG00000211542.1 turquoise 12 9127871 9127985
327 ENSG00000233477.1 turquoise 10 105685383 105685865
328 ENSG00000200275.1 turquoise 5 155845437 155845528
329 ENSG00000264767.1 turquoise 20 38098414 38098700
330 ENSG00000251306.1 turquoise 5 59528861 59529251
331 ENSG00000200354.1 turquoise 20 38433865 38433998
332 ENSG00000225713.4 turquoise 1 174090136 174090474
333 ENSG00000251815.1 turquoise 15 25099499 25099594
334 ENSG00000267063.1 turquoise 19 2847227 2858716
335 ENSG00000251330.3 turquoise 5 148430159 148430807
336 ENSG00000228806.1 turquoise 7 155106400 155106651
337 ENSG00000236510.1 turquoise 7 3642815 3643784
338 ENSG00000218198.2 turquoise 13 27017554 27017909
339 ENSG00000267705.1 turquoise 18 58752179 58753898
340 ENSG00000230285.1 turquoise 1 85599131 85600734
341 ENSG00000240861.1 turquoise 16 74552251 74552746
342 ENSG00000237418.1 turquoise 3 196298061 196298215
343 ENSG00000216938.3 turquoise X 26686026 26687955
344 ENSG00000236876.2 turquoise 1 42500205 42500339
345 ENSG00000169253.3 turquoise 9 108626833 108627150
346 ENSG00000270809.1 turquoise 13 42181465 42181921
347 ENSG00000223920.2 turquoise 1 61654194 61654908
348 ENSG00000229436.1 turquoise 7 80662331 80662585
349 ENSG00000253283.1 turquoise 8 85086615 85087186
350 ENSG00000242990.2 turquoise 12 57674665 57675250
351 ENSG00000270788.1 turquoise 14 50050368 50051336
352 ENSG00000213779.4 turquoise 11 17193489 17194308
353 ENSG00000199071.2 turquoise 17 30117079 30117172
354 ENSG00000230929.4 turquoise 5 126628019 126628319
355 ENSG00000207146.1 turquoise X 108676951 108677057
356 ENSG00000250692.1 turquoise 5 139848290 139856389
357 ENSG00000252542.1 turquoise 9 133350847 133350912
358 ENSG00000253901.1 turquoise 8 91542924 91907619
359 ENSG00000234270.1 turquoise 3 41955445 41955763
360 ENSG00000224104.1 turquoise 7 153144313 153144588
361 ENSG00000236703.1 turquoise 6 135195083 135195995
362 ENSG00000249616.1 turquoise 5 26739753 26741183
363 ENSG00000266041.1 turquoise 11 65636310 65636369
364 ENSG00000207574.1 turquoise 8 143945191 143945279
365 ENSG00000233980.1 turquoise 7 76470162 76471058
366 ENSG00000264809.1 turquoise 1 178484408 178484682
367 ENSG00000265311.1 turquoise 22 38274339 38274424
368 ENSG00000254452.1 turquoise 11 66276779 66277492
369 ENSG00000264756.1 turquoise NA NA NA
370 ENSG00000223189.1 turquoise 7 128627172 128627275
371 ENSG00000249031.1 turquoise 5 174561776 174562063
372 ENSG00000228139.1 turquoise X 120117642 120119700
373 ENSG00000206834.1 turquoise 11 93732004 93732133
374 ENSG00000249582.1 turquoise 5 117778826 117779532
375 ENSG00000240238.1 turquoise 15 59552615 59553093
376 ENSG00000215583.3 turquoise Y 11922536 11923769
377 ENSG00000250826.2 turquoise 4 82128535 82129656
378 ENSG00000264599.1 turquoise 8 17303945 17304035
379 ENSG00000240236.1 turquoise 3 122317609 122318741
380 ENSG00000230478.1 turquoise X 87425583 87425690
381 ENSG00000238465.1 turquoise NA NA NA
382 ENSG00000257844.1 turquoise 12 52413960 52421876
383 ENSG00000218803.1 turquoise 6 111046868 111047521
384 ENSG00000271215.1 turquoise 12 12614359 12615907
385 ENSG00000219361.1 turquoise 6 80470071 80470428
386 ENSG00000182351.6 turquoise 22 24712292 24712520
387 ENSG00000223945.2 turquoise 1 150053864 150055034
388 ENSG00000222990.1 turquoise 14 88513498 88513663
389 ENSG00000263820.1 turquoise 17 60042805 60042882
390 ENSG00000267589.1 turquoise 19 6072823 6073527
391 ENSG00000251555.1 turquoise 4 131930031 131975952
392 ENSG00000220771.2 turquoise 6 21602128 21602383
393 ENSG00000267595.1 turquoise 17 43168170 43168249
394 ENSG00000249986.1 turquoise 3 141600276 141600579
395 ENSG00000254112.1 turquoise 8 98633547 98633865
396 ENSG00000226699.1 turquoise 10 133345754 133350726
397 ENSG00000258825.1 turquoise 14 96931367 96943580
398 ENSG00000174418.7 turquoise 13 106425773 106426122
399 ENSG00000268203.1 turquoise 19 6494320 6494805
400 ENSG00000251482.1 turquoise 4 149789952 149790303
401 ENSG00000202079.1 turquoise 1 247294835 247294941
402 ENSG00000232333.1 turquoise 20 17516843 17517307
403 ENSG00000216917.2 turquoise 6 131780721 131781312
404 ENSG00000227875.2 turquoise 1 12080293 12080547
405 ENSG00000235686.1 turquoise 19 12508129 12508263
406 ENSG00000252874.1 turquoise 11 47820200 47820289
407 ENSG00000241018.1 turquoise 3 96753185 96754671
408 ENSG00000216090.1 turquoise 8 143812957 143813042
409 ENSG00000239093.1 turquoise 3 187423315 187423419
410 ENSG00000231947.1 turquoise X 55179194 55179999
411 ENSG00000263478.1 turquoise NA NA NA
412 ENSG00000230542.1 turquoise X 2612988 2615347
413 ENSG00000235656.1 turquoise X 115198432 115198749
414 ENSG00000212695.4 turquoise 9 8713311 8713841
415 ENSG00000235963.1 turquoise 6 29907783 29908645
416 ENSG00000229384.2 turquoise X 36211096 36211635
417 ENSG00000230958.1 turquoise 2 111865798 111866405
418 ENSG00000233664.1 turquoise 1 52709122 52709442
419 ENSG00000253866.1 turquoise 8 20934435 20934837
420 ENSG00000270378.1 turquoise 15 51351100 51351192
421 ENSG00000264910.1 turquoise 19 58543299 58543578
422 ENSG00000229595.1 turquoise 1 231117831 231118325
423 ENSG00000236681.1 turquoise 2 204306842 204307364
424 ENSG00000228781.1 turquoise 9 78180214 78180693
425 ENSG00000235784.2 turquoise 13 93394977 93395855
426 ENSG00000259589.2 turquoise 15 63675146 63713758
427 ENSG00000259595.1 turquoise 15 44402685 44427144
428 ENSG00000266707.1 turquoise 17 66197693 66198238
429 ENSG00000239122.1 turquoise 3 195928589 195928775
430 ENSG00000207175.1 turquoise X 119423742 119423905
431 ENSG00000259259.1 turquoise 15 72899399 72900260
432 ENSG00000224161.3 turquoise 18 59761558 59761905
433 ENSG00000214305.3 turquoise 3 39161270 39161520
434 ENSG00000264063.1 turquoise 21 8987370 8987430
435 ENSG00000206647.1 turquoise 2 10155072 10155206
436 ENSG00000264279.1 turquoise 2 239943015 239943094
437 ENSG00000237381.2 turquoise X 93388075 93389497
438 ENSG00000241652.2 turquoise 4 173141643 173141938
439 ENSG00000232992.2 turquoise 2 138901433 138902747
440 ENSG00000264047.1 turquoise 2 43904412 43904693
441 ENSG00000270225.1 turquoise 5 100052859 100053539
442 ENSG00000207110.1 turquoise 8 127999131 127999294
443 ENSG00000240698.1 turquoise 11 108690289 108690956
444 ENSG00000256642.1 turquoise 16 34158585 34160036
445 ENSG00000269752.1 turquoise 19 17613722 17614430
446 ENSG00000217327.3 turquoise 1 240012646 240013226
447 ENSG00000230401.1 turquoise 3 194765238 194768712
448 ENSG00000243871.2 turquoise 15 43391384 43391727
449 ENSG00000266358.1 turquoise 1 13623902 13624002
450 ENSG00000240068.1 turquoise 3 154023835 154024298
451 ENSG00000224786.1 turquoise 4 122730548 122732193
452 ENSG00000218857.1 turquoise 6 131184325 131185486
453 ENSG00000256906.1 turquoise 12 130070325 130072685
454 ENSG00000257495.1 turquoise 12 52601467 52615305
455 ENSG00000200879.1 turquoise 11 123058077 123058161
456 ENSG00000257662.1 turquoise 14 28593779 28593919
457 ENSG00000230953.2 turquoise 1 52920422 52920596
458 ENSG00000226401.3 turquoise 7 63632608 63636617
459 ENSG00000237584.1 turquoise X 137441258 137441836
460 ENSG00000212452.1 turquoise 3 52692736 52692812
461 ENSG00000264018.1 turquoise NA NA NA
462 ENSG00000255286.2 turquoise 11 111945639 111946892
463 ENSG00000265516.1 turquoise 6 116457732 116457822
464 ENSG00000207061.1 turquoise 7 156186122 156186223
465 ENSG00000244932.2 turquoise 3 129381298 129394149
466 ENSG00000187472.3 turquoise 6 98780257 98793992
467 ENSG00000263587.1 turquoise NA NA NA
468 ENSG00000266751.1 turquoise 5 134225757 134225852
469 ENSG00000223717.1 turquoise 13 58751047 58752233
470 ENSG00000265611.1 turquoise 17 42514188 42514307
471 ENSG00000221177.1 turquoise NA NA NA
472 ENSG00000266944.1 turquoise 19 3130717 3131398
473 ENSG00000265077.1 turquoise NA NA NA
474 ENSG00000267363.1 turquoise 19 36379351 36380912
475 ENSG00000259300.2 turquoise 15 29612570 29614274
476 ENSG00000266859.1 turquoise 11 71905107 71905194
477 ENSG00000179709.4 turquoise 19 55947832 55988629
478 ENSG00000239199.1 turquoise 14 55413556 55414059
479 ENSG00000265371.1 turquoise 12 54231397 54231476
480 ENSG00000235626.2 turquoise 9 30773464 30774732
481 ENSG00000238311.1 turquoise 15 65696833 65696936
482 ENSG00000224681.1 turquoise 9 40332995 40333460
483 ENSG00000264539.1 turquoise 13 114244505 114244561
484 ENSG00000252714.1 turquoise 15 40331537 40331648
485 ENSG00000200473.1 turquoise X 70253042 70253162
486 ENSG00000200888.1 turquoise 17 45071442 45071543
487 ENSG00000237571.1 turquoise 2 215274992 215277947
488 ENSG00000213133.4 turquoise 6 126257921 126258355
489 ENSG00000263493.1 turquoise NA NA NA
490 ENSG00000226999.1 turquoise 7 45534523 45534681
491 ENSG00000265638.1 turquoise 17 60042694 60042772
492 ENSG00000265395.1 turquoise 10 133371556 133371663
493 ENSG00000233173.1 turquoise 7 63934449 63935331
494 ENSG00000271275.1 turquoise 22 18997138 18997595
495 ENSG00000271095.1 turquoise 19 21997648 21998840
496 ENSG00000240486.2 turquoise 8 5476548 5476966
497 ENSG00000177553.6 turquoise 1 11777077 11779619
498 ENSG00000227348.1 turquoise 2 201212283 201213081
499 ENSG00000254406.1 turquoise 11 119821304 119822129
500 ENSG00000223640.1 turquoise 2 9081395 9081727
501 ENSG00000213130.3 turquoise 6 128580113 128580884
502 ENSG00000236053.1 turquoise 13 109310135 109311773
503 ENSG00000266664.1 turquoise 17 19150279 19151286
504 ENSG00000224906.2 turquoise 12 6438498 6438852
